t,N,E,vN,vE,accepted,sensors,run
3.000000,651.619100,448.612400,0.000000,0.000000,False,,ais_only_initialisation
6.000000,636.255033,438.531191,-5.070695,-3.327162,True,ais,ais_only_initialisation
9.000000,623.539375,436.047544,-4.349872,-1.157343,True,ais,ais_only_initialisation
12.000000,618.211539,434.479751,-2.888731,-0.797832,True,ais,ais_only_initialisation
15.000000,610.781933,434.891440,-2.711860,-0.397635,True,ais,ais_only_initialisation
18.000000,606.174632,430.364036,-2.292843,-0.793564,True,ais,ais_only_initialisation
21.000000,599.984388,430.570982,-2.218046,-0.514798,True,ais,ais_only_initialisation
24.000000,592.914016,425.330238,-2.261470,-0.896617,True,ais,ais_only_initialisation
27.000000,584.895858,423.124494,-2.388089,-0.847143,True,ais,ais_only_initialisation
30.000000,577.791576,421.272890,-2.381865,-0.775994,True,ais,ais_only_initialisation
33.000000,572.012544,420.169932,-2.240058,-0.648856,True,ais,ais_only_initialisation
36.000000,565.362054,418.012867,-2.232785,-0.670806,True,ais,ais_only_initialisation
39.000000,558.277443,416.140484,-2.273132,-0.656167,True,ais,ais_only_initialisation
42.000000,550.128316,409.153013,-2.411941,-1.180601,True,ais,ais_only_initialisation
45.000000,542.928777,404.868746,-2.408265,-1.258241,True,ais,ais_only_initialisation
48.000000,533.263840,403.016988,-2.663604,-1.057632,True,ais,ais_only_initialisation
51.000000,528.364749,400.776423,-2.340918,-0.960306,True,ais,ais_only_initialisation
54.000000,522.504918,397.673858,-2.219587,-0.983501,True,ais,ais_only_initialisation
57.000000,515.112195,391.248759,-2.296207,-1.346326,True,ais,ais_only_initialisation
93.000000,434.039565,348.374319,-2.211967,-1.050385,True,ais,ais_only_initialisation
96.000000,419.673763,350.396092,-2.820675,-0.637093,True,ais,ais_only_initialisation
99.000000,411.208697,351.228028,-2.821345,-0.351118,True,ais,ais_only_initialisation
102.000000,408.635082,348.875244,-2.168884,-0.497077,True,ais,ais_only_initialisation
105.000000,400.908404,343.640773,-2.303584,-0.912100,True,ais,ais_only_initialisation
108.000000,390.878198,339.934289,-2.641297,-1.016533,True,ais,ais_only_initialisation
111.000000,386.187005,335.511655,-2.297960,-1.161572,True,ais,ais_only_initialisation
114.000000,381.275986,332.688477,-2.089901,-1.092600,True,ais,ais_only_initialisation
117.000000,373.635591,332.915658,-2.232824,-0.727733,True,ais,ais_only_initialisation
120.000000,366.030863,328.596645,-2.327043,-0.950217,True,ais,ais_only_initialisation
123.000000,359.299712,329.973940,-2.300952,-0.509311,True,ais,ais_only_initialisation
126.000000,351.709690,328.376222,-2.372382,-0.516670,True,ais,ais_only_initialisation
129.000000,343.547053,324.766535,-2.481400,-0.731807,True,ais,ais_only_initialisation
132.000000,334.695885,319.931374,-2.628374,-1.007499,True,ais,ais_only_initialisation
135.000000,329.855729,321.370325,-2.309641,-0.541784,True,ais,ais_only_initialisation
138.000000,321.184368,318.700689,-2.491471,-0.650933,True,ais,ais_only_initialisation
141.000000,315.851977,312.604639,-2.268120,-1.083469,True,ais,ais_only_initialisation
144.000000,307.450504,312.049616,-2.435576,-0.801667,True,ais,ais_only_initialisation
147.000000,298.168288,310.670972,-2.642046,-0.694408,True,ais,ais_only_initialisation
150.000000,290.438619,304.075539,-2.621552,-1.165607,True,ais,ais_only_initialisation
