t,N,E,vN,vE,accepted,sensors,run
3.3333,637.8423117560379,454.2097288873978,0.0,0.0,True,radar,radar_camera_with_ais
4.0,637.8423117560379,454.2097288873978,0.0,0.0,False,,radar_camera_with_ais
6.0,636.3978765060733,439.1013131212193,-0.5237075357571389,-5.601747445752563,True,ais,radar_camera_with_ais
6.6667,637.2838518046194,439.19892198720765,-0.06746087886195279,-4.288379416252507,True,radar,radar_camera_with_ais
8.0,637.1939062148327,433.48122571151816,-0.06746087886195279,-4.288379416252507,False,,radar_camera_with_ais
9.0,627.623386151189,433.8568380694838,-2.2832831642088456,-3.2279315793405425,True,ais,radar_camera_with_ais
10.0,625.5294993798692,434.0654126902847,-2.2343828175295517,-2.527422326151477,True,radar,radar_camera_with_ais
12.0,620.7731113562621,432.0364874699871,-2.2785111249202488,-2.035600393676729,True,ais,radar_camera_with_ais
13.3333,617.4814730794097,433.42136711256416,-2.3111826167232987,-1.4493656519157683,True,radar,radar_camera_with_ais
14.0,615.9406076288403,432.4550750324319,-2.3111826167232987,-1.4493656519157683,False,,radar_camera_with_ais
15.0,612.8537753246995,432.9682123472113,-2.4078603540378642,-1.2041246988616894,True,ais,radar_camera_with_ais
16.0,610.4459149706616,431.76408764834963,-2.4078603540378642,-1.2041246988616894,False,,radar_camera_with_ais
16.6667,608.47435905058,431.1482020408216,-2.4484857069925408,-1.183472889806841,True,radar,radar_camera_with_ais
18.0,606.3019701188696,429.2222770887684,-2.336784914104402,-1.2192610304410987,True,ais,radar_camera_with_ais
20.0,601.3227298137814,428.71835489308035,-2.3655030065398694,-1.0403910452883025,True,radar,radar_camera_with_ais
21.0,599.5743379144757,429.09359091213514,-2.3116491903301837,-0.9148603313583523,True,ais,radar_camera_with_ais
22.0,597.2626887241455,428.1787305807768,-2.3116491903301837,-0.9148603313583523,False,,radar_camera_with_ais
23.3333,595.1855802650338,427.38920227605115,-2.230319595214907,-0.8804467934190207,True,radar,radar_camera_with_ais
24.0,593.2556304497244,425.5761924445186,-2.2644553224501003,-0.978452087587178,True,ais,radar_camera_with_ais
26.0,588.7267198048243,423.6192882693442,-2.2644553224501003,-0.978452087587178,False,,radar_camera_with_ais
26.6667,587.3957734705335,424.8372530753957,-2.2533515393416463,-0.8368235836137263,True,radar,radar_camera_with_ais
27.0,585.9286584246097,424.28717650412926,-2.30643198446133,-0.8563475770249526,True,ais,radar_camera_with_ais
28.0,583.6222264401483,423.4308289271043,-2.30643198446133,-0.8563475770249526,False,,radar_camera_with_ais
30.0,578.2429691290662,419.8864440029907,-2.3582788874579967,-0.9884464169450021,True,radar+ais,radar_camera_with_ais
32.0,573.5264113541502,417.90955116910067,-2.3582788874579967,-0.9884464169450021,False,,radar_camera_with_ais
33.0,571.8332279937866,418.0243982510839,-2.3127827128711274,-0.9086915171325237,True,ais,radar_camera_with_ais
33.3333,571.9112627878189,418.3316577992845,-2.2528743137049743,-0.8656486896749719,True,radar,radar_camera_with_ais
34.0,570.4092714828719,417.7545298178782,-2.2528743137049743,-0.8656486896749719,False,,radar_camera_with_ais
36.0,565.8313324494944,416.394423374763,-2.2590446355780283,-0.8380350189323318,True,ais,radar_camera_with_ais
36.6667,564.6869609682095,415.03543660187125,-2.23083808377386,-0.8981825740720075,True,radar,radar_camera_with_ais
38.0,561.7125845511139,413.8378897758611,-2.23083808377386,-0.8981825740720075,False,,radar_camera_with_ais
39.0,559.1848719805567,413.607273135272,-2.2541616551842045,-0.8478782190846567,True,ais,radar_camera_with_ais
40.0,555.0350743732771,412.1311487023889,-2.3891803210001874,-0.8892363522323845,True,radar,radar_camera_with_ais
42.0,549.7595033221124,408.94265813303105,-2.42105895371876,-0.9922675483360701,True,ais,radar_camera_with_ais
43.3333,546.0755208447383,407.4364504638688,-2.4536705793830698,-1.004634858484093,True,radar,radar_camera_with_ais
44.0,544.4396586694636,406.7666604037175,-2.4536705793830698,-1.004634858484093,False,,radar_camera_with_ais
45.0,542.1513875857412,405.4462415583395,-2.4407266350541823,-1.0286302382184054,True,ais,radar_camera_with_ais
46.0,539.710660950687,404.4176113201211,-2.4407266350541823,-1.0286302382184054,False,,radar_camera_with_ais
46.6667,537.013001087801,405.33626267730074,-2.522186122914046,-0.9075264548538181,True,radar,radar_camera_with_ais
48.0,533.043236373824,404.2568027029403,-2.565987445000537,-0.8962223160403179,True,ais,radar_camera_with_ais
