t,N,E,vN,vE,accepted,sensors,run
3.333300,637.842312,454.209729,0.000000,0.000000,False,,radar_camera_without_ais
4.000000,637.842312,454.209729,0.000000,0.000000,False,,radar_camera_without_ais
6.000000,637.842312,454.209729,0.000000,0.000000,False,,radar_camera_without_ais
6.666700,638.788483,441.712167,0.281566,-3.719086,True,radar,radar_camera_without_ais
8.000000,639.163895,436.753509,0.281566,-3.719086,False,,radar_camera_without_ais
10.000000,626.989350,436.837117,-3.043488,-1.681067,True,radar,radar_camera_without_ais
12.000000,620.902373,433.474983,-3.043488,-1.681067,False,,radar_camera_without_ais
13.333300,617.579236,436.905203,-2.931784,-0.711089,True,radar,radar_camera_without_ais
14.000000,616.908417,432.679364,-2.714252,-1.331942,True,camera,radar_camera_without_ais
16.000000,611.479914,430.015480,-2.714252,-1.331942,False,,radar_camera_without_ais
16.666700,608.730275,429.777935,-2.850209,-1.205226,True,radar,radar_camera_without_ais
18.000000,604.930092,428.171007,-2.850209,-1.205226,False,,radar_camera_without_ais
20.000000,600.548380,429.162250,-2.743035,-0.790869,True,radar,radar_camera_without_ais
22.000000,595.062309,427.580513,-2.743035,-0.790869,False,,radar_camera_without_ais
23.333300,594.824781,427.656401,-2.427522,-0.697164,True,radar,radar_camera_without_ais
26.000000,588.351307,425.797274,-2.427522,-0.697164,False,,radar_camera_without_ais
26.666700,587.631238,427.451521,-2.358593,-0.500164,True,radar,radar_camera_without_ais
28.000000,584.486526,426.784652,-2.358593,-0.500164,False,,radar_camera_without_ais
30.000000,577.734006,419.512270,-2.503678,-1.062884,True,radar,radar_camera_without_ais
32.000000,572.726650,417.386502,-2.503678,-1.062884,False,,radar_camera_without_ais
33.333300,572.285458,418.326413,-2.261587,-0.863679,True,radar,radar_camera_without_ais
34.000000,570.777658,417.750598,-2.261587,-0.863679,False,,radar_camera_without_ais
36.000000,566.254484,416.023239,-2.261587,-0.863679,False,,radar_camera_without_ais
36.666700,565.174845,414.013846,-2.215573,-0.996132,True,radar,radar_camera_without_ais
38.000000,562.220821,412.685703,-2.215573,-0.996132,False,,radar_camera_without_ais
40.000000,552.923035,409.909959,-2.632564,-1.037495,True,radar,radar_camera_without_ais
42.000000,547.657907,407.834970,-2.632564,-1.037495,False,,radar_camera_without_ais
43.333300,544.140133,406.437664,-2.633155,-1.038735,True,radar,radar_camera_without_ais
44.000000,542.384609,405.745140,-2.633155,-1.038735,False,,radar_camera_without_ais
46.000000,537.118299,403.667671,-2.633155,-1.038735,False,,radar_camera_without_ais
46.666700,534.656493,406.200296,-2.717602,-0.736743,True,radar,radar_camera_without_ais
48.000000,531.033115,405.217998,-2.717602,-0.736743,False,,radar_camera_without_ais
50.000000,528.456160,402.047497,-2.455374,-0.912683,True,radar,radar_camera_without_ais
52.000000,523.545413,400.222132,-2.455374,-0.912683,False,,radar_camera_without_ais
53.333300,523.441234,398.136620,-2.165893,-1.018546,True,radar,radar_camera_without_ais
54.000000,521.997234,397.457555,-2.165893,-1.018546,False,,radar_camera_without_ais
56.000000,517.665448,395.420463,-2.165893,-1.018546,False,,radar_camera_without_ais
56.666700,518.251321,394.951509,-1.986983,-1.014876,True,radar,radar_camera_without_ais
60.000000,511.628109,391.568621,-1.986983,-1.014876,False,,radar_camera_without_ais
62.000000,507.654142,389.538869,-1.986983,-1.014876,False,,radar_camera_without_ais
63.333300,500.504962,390.559941,-2.391295,-0.770034,True,radar,radar_camera_without_ais
64.000000,498.910685,390.046560,-2.391295,-0.770034,False,,radar_camera_without_ais
66.000000,494.128094,388.506491,-2.391295,-0.770034,False,,radar_camera_without_ais
66.666700,483.890554,387.655041,-3.127168,-0.735054,True,radar,radar_camera_without_ais
68.000000,479.721100,386.674993,-3.127168,-0.735054,False,,radar_camera_without_ais
70.000000,475.436390,378.968099,-2.902840,-1.319710,True,radar,radar_camera_without_ais
72.000000,469.630709,376.328679,-2.902840,-1.319710,False,,radar_camera_without_ais
73.333300,467.560739,376.203746,-2.756875,-1.182794,True,radar,radar_camera_without_ais
76.000000,460.208981,373.049589,-2.756875,-1.182794,False,,radar_camera_without_ais
76.666700,461.556144,373.390833,-2.469191,-1.106350,True,radar,radar_camera_without_ais
78.000000,458.263971,371.915736,-2.469191,-1.106350,False,,radar_camera_without_ais
80.000000,455.902205,368.707335,-2.214419,-1.233493,True,radar,radar_camera_without_ais
82.000000,451.473366,366.240349,-2.214419,-1.233493,False,,radar_camera_without_ais
83.333300,448.520881,364.595733,-2.214419,-1.233493,False,,radar_camera_without_ais
84.000000,447.044528,363.773364,-2.214419,-1.233493,False,,radar_camera_without_ais
86.000000,442.615689,361.306378,-2.214419,-1.233493,False,,radar_camera_without_ais
86.666700,447.022429,359.821561,-1.719712,-1.336531,True,radar,radar_camera_without_ais
90.000000,434.123389,354.405543,-2.339239,-1.346577,True,radar,radar_camera_without_ais
92.000000,429.444910,351.712390,-2.339239,-1.346577,False,,radar_camera_without_ais
93.333300,424.274712,354.690230,-2.600562,-0.834664,True,radar,radar_camera_without_ais
94.000000,422.540917,354.133759,-2.600562,-0.834664,False,,radar_camera_without_ais
96.000000,417.339792,352.464432,-2.600562,-0.834664,False,,radar_camera_without_ais
96.666700,420.831840,354.157208,-2.128280,-0.674576,True,radar,radar_camera_without_ais
98.000000,417.994204,353.257796,-2.128280,-0.674576,False,,radar_camera_without_ais
100.000000,417.305095,353.137705,-1.806325,-0.596505,True,radar,radar_camera_without_ais
